"Model","split_num","iter_num","AUC_score"
"RF8",5,0,0.927050130396986
"RF8",6,0,0.953564184294407
"RF8",7,0,0.958490292668792
"RF8",8,0,0.868443929295856
"RF8",9,0,0.930310055056505
"RF8",0,1,0.983321642896111
"RF8",1,1,0.932117527862209
"RF8",2,1,0.943028602603071
"RF8",3,1,0.911692263112141
"RF8",4,1,0.953636627064619
"RF8",5,1,0.929440741813967
"RF8",6,1,0.897276151840046
"RF8",7,1,0.902492031295277
"RF8",8,1,0.952694871051869
"RF8",9,1,0.923572877426833
"RF8",0,2,0.962980282129218
"RF8",1,2,0.879666432857922
"RF8",2,2,0.974203101862676
"RF8",3,2,0.930382497826717
"RF8",4,2,0.796218487394958
"RF8",5,2,0.896406838597508
"RF8",6,2,0.96124311793683
"RF8",7,2,0.949942045783831
"RF8",8,2,0.958490292668792
"RF8",9,2,0.989061141698059
"RF9",0,0,0.97155326942561
"RF9",1,0,0.919102174421323
"RF9",2,0,0.927831034214013
"RF9",3,0,0.930962039988409
"RF9",4,0,0.841640104317589
"RF9",5,0,0.927991886409736
"RF9",6,0,0.959649376992176
"RF9",7,0,0.955013039698638
"RF9",8,0,0.955520139090119
"RF9",9,0,0.94943494639235
"RF9",0,1,0.983165770399813
"RF9",1,1,0.945054945054945
"RF9",2,1,0.946301925025329
"RF9",3,1,0.924224862358737
"RF9",4,1,0.958272964358157
"RF9",5,1,0.949507389162562
"RF9",6,1,0.904592871631411
"RF9",7,1,0.868806143146914
"RF9",8,1,0.975369458128079
"RF9",9,1,0.929658070124602
"RF9",0,2,0.96757852077001
"RF9",1,2,0.914971553269426
"RF9",2,2,0.976541189307147
"RF9",3,2,0.903796001159084
"RF9",4,2,0.821718342509418
"RF9",5,2,0.871558968414952
"RF9",6,2,0.94516082294987
"RF9",7,2,0.958200521587946
"RF9",8,2,0.975152129817444
"RF9",9,2,0.989278470008693
"XGB0",0,0,0.931416101628868
"XGB0",1,0,0.949731119943886
"XGB0",2,0,0.934611487802977
"XGB0",3,0,0.937192118226601
"XGB0",4,0,0.899956534337873
"XGB0",5,0,0.910315850478122
"XGB0",6,0,0.96406838597508
"XGB0",7,0,0.921689365401333
"XGB0",8,0,0.930092726745871
"XGB0",9,0,0.933787308026659
"XGB0",0,1,0.965630114566285
"XGB0",1,1,0.955888083547658
"XGB0",2,1,0.915828851999065
"XGB0",3,1,0.93951028687337
"XGB0",4,1,0.961460446247465
"XGB0",5,1,0.927050130396986
"XGB0",6,1,0.921399594320487
"XGB0",7,1,0.840118806143147
"XGB0",8,1,0.939292958562735
"XGB0",9,1,0.929658070124602
"XGB0",0,2,0.961499493414387
"XGB0",1,2,0.929935312914036
"XGB0",2,2,0.976541189307147
"XGB0",3,2,0.902926687916546
"XGB0",4,2,0.854969574036511
"XGB0",5,2,0.868009272674587
"XGB0",6,2,0.920312952767314
"XGB0",7,2,0.968125181106925
"XGB0",8,2,0.938278759779774
"XGB0",9,2,0.950014488554042
"XGB1",0,0,0.92409009430286
"XGB1",1,0,0.938040682721534
"XGB1",2,0,0.963603772114411
